"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","28 Apr 2026 22:57:13 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
28-04 22:57:13,,977132,1688144,159616,4999220,,,,,,,1.900,1.200,0.690,2,0,,,,10,6,0,18,0
28-04 22:57:14,17.747,20.247,54.741,6.499,0,976580,1688108,159800,4999508,44231.802,12681.936,0,3207.478,0,129.979,6843,6273,1.900,1.200,0.690,2,0,567.908,0,0,10,5,0,18,1
28-04 22:57:15,25.478,18.234,51.206,3.747,0,997872,1666124,159952,4999920,27265.526,11561.046,0,1866.393,0,63.945,5650,6018,1.900,1.200,0.690,2,0,417.640,0,0,10,4,0,18,2
28-04 22:57:16,31.168,10.473,52.861,4.488,0,1120636,1516792,160608,5148604,175084.345,3415.034,0,5601.295,0,98.741,6045,7146,1.900,1.200,0.690,1,0,132.652,0,0,11,4,0,18,2
28-04 22:57:17,26.285,6.509,65.086,1.502,0,1157944,1458300,161340,5166536,38888.366,634.839,0,1377.820,0,31.041,3292,2234,1.900,1.200,0.690,4,0,76.101,0,0,11,6,0,18,2
28-04 22:57:18,33.812,11.020,46.586,7.764,0,1179660,1416860,161744,5184136,6194.376,540.994,0,3903.168,0,234.431,4526,3316,1.990,1.230,0.700,4,0,187.344,0,0,11,6,0,20,2
28-04 22:57:19,34.903,6.233,48.366,8.726,0,1240448,1340480,162656,5196452,9040.874,538.503,1731.189,3984.925,118.670,108.698,3408,2600,1.990,1.230,0.700,1,1,17.950,0,0,11,6,0,20,2
28-04 22:57:20,39.261,3.501,48.763,8.252,0,1269820,1284916,163500,5219380,7239.961,540.146,244.066,3072.832,7.002,67.018,2912,1947,1.990,1.230,0.700,2,1,0,0,0,11,6,0,20,2
28-04 22:57:21,20.250,3.750,41.751,31.751,0,1288504,1255308,164244,5228156,8660.139,540.009,16.000,9956.160,1.000,539.009,4858,7222,1.990,1.230,0.700,2,4,11.000,0,0,11,8,0,20,2
28-04 22:57:22,15.755,3.001,49.515,29.509,0,1303924,1251864,164700,5215440,16704.974,3213.957,0,9130.719,0,503.150,4586,7170,1.990,1.230,0.700,3,1,0,0,0,11,6,0,20,0
28-04 22:57:23,22.723,4.495,42.450,27.717,0,1315356,1239128,164912,5216532,10229.845,539.359,0,6995.688,0,542.356,5015,7141,2.070,1.260,0.710,1,2,34.958,0,0,11,6,0,20,0
28-04 22:57:24,16.268,3.504,44.298,33.787,0,1312292,1235612,165360,5222016,13591.775,2773.014,0,8601.350,0,601.654,4572,7173,2.070,1.260,0.710,3,1,10.011,0,0,11,6,0,20,0
28-04 22:57:25,21.705,3.992,36.924,35.177,0,1328608,1217468,165564,5223488,5657.294,1612.663,0,12865.378,0,894.150,5256,8602,2.070,1.260,0.710,2,1,26.944,0,0,11,7,0,20,0
28-04 22:57:26,13.760,4.503,37.277,42.281,0,1315736,1222784,166244,5229184,10838.847,2526.829,0,10863.865,0,831.602,5037,8372,2.070,1.260,0.710,1,2,14.010,0,0,11,6,0,20,0
28-04 22:57:27,18.743,5.498,39.235,33.987,0,1313632,1223596,166348,5230228,8989.577,539.794,0,8080.923,0,570.783,12211,23160,2.070,1.260,0.710,2,0,17.993,0,0,11,6,0,20,0
28-04 22:57:28,22.436,6.482,39.139,28.669,0,1307664,1228024,166536,5231508,9520.975,484.624,0,8659.421,0,626.222,14212,26060,2.310,1.320,0.730,1,2,18.946,0,0,11,6,0,20,0
28-04 22:57:29,20.759,6.753,42.519,28.763,0,1277520,1269936,166640,5221036,8848.861,486.212,0,11400.975,0,776.339,5253,8153,2.310,1.320,0.730,1,1,15.007,0,0,11,6,0,20,0
28-04 22:57:30,21.065,4.765,46.142,26.080,0,1277724,1268900,166716,5221796,7359.620,487.498,0,7222.197,0,543.671,5095,7323,2.310,1.320,0.730,0,2,71.219,0,0,11,6,0,20,0
28-04 22:57:31,3.500,2.250,52.994,38.496,0,1271260,1274964,166888,5222024,8370.067,485.946,0,12910.561,0,664.926,3749,6637,2.310,1.320,0.730,0,4,9.999,0,0,11,6,0,20,0
28-04 22:57:32,2.500,1.250,40.248,53.747,0,1253028,1293136,166904,5222068,6368.609,485.970,0,16195.006,0,433.973,2256,3145,2.310,1.320,0.730,0,3,3.000,0,0,11,6,0,20,0
28-04 22:57:33,2.500,3.000,51.751,41.751,0.250,1241200,1304832,166976,5222140,5127.065,540.007,0,16856.214,0,442.006,3186,5351,2.520,1.380,0.760,3,1,3.000,0,0,11,6,0,20,0
28-04 22:57:34,7.506,2.252,67.802,19.765,0,1226588,1319136,167188,5222412,9828.571,486.375,0,6605.088,0,515.397,3910,6516,2.520,1.380,0.760,1,0,12.009,0,0,11,6,0,20,0
28-04 22:57:35,19.756,6.252,70.521,2.501,0,1153992,1391708,167200,5222424,10596.165,486.145,0,1644.491,0,94.028,2904,2376,2.520,1.380,0.760,1,0,75.022,0,0,11,4,0,14,0
28-04 22:57:36,22.999,2.750,71.496,2.500,0,1184952,1360728,167220,5222424,5917.630,485.970,0,767.952,0,36.998,1825,1405,2.520,1.380,0.760,1,0,0,0,0,11,4,0,14,0
28-04 22:57:37,22.299,4.009,59.882,12.528,0,1218588,1326992,167312,5222432,10943.163,487.075,0,6490.331,0,360.797,2774,3001,2.520,1.380,0.760,1,0,10.022,0,0,11,4,0,14,0
28-04 22:57:38,23.751,2.250,73.503,0,0,1239904,1305672,167312,5222436,8037.362,486.022,0,132.006,0,10.000,1781,1263,2.480,1.390,0.760,1,0,0,0,0,11,4,0,14,0
28-04 22:57:39,7.749,18.247,71.988,0,0,1174956,1370576,167312,5222480,11328.054,485.917,0,13101.749,0,94.984,5568,4448,2.480,1.390,0.760,1,0,354.939,0,0,11,4,0,14,0
28-04 22:57:40,10.507,19.512,67.792,1.751,0,1140984,1404392,167312,5222980,9557.940,486.302,0,19295.992,0,377.234,6435,6102,2.480,1.390,0.760,4,0,369.229,0,0,11,4,0,14,0
28-04 22:57:41,28.647,14.448,54.305,0.249,0,1145848,1392084,167312,5230396,4433.050,484.258,7421.299,0,74.731,0,5823,6580,2.480,1.390,0.760,2,0,250.100,0,0,11,5,0,14,0
28-04 22:57:42,46.255,5.001,48.755,0,0,1221164,1316704,167320,5230564,9049.991,486.053,20.002,2296.251,4.000,17.002,2734,1295,2.480,1.390,0.760,2,0,0,0,0,11,5,0,14,0
28-04 22:57:43,43.251,6.500,45.501,3.500,0,1251788,1284860,167320,5231784,6510.178,486.013,492.013,1408.038,6.000,26.001,2932,1836,2.440,1.400,0.770,4,0,0,0,0,11,5,0,13,0
28-04 22:57:44,22.246,8.249,65.239,3.249,0,1265620,1268696,167320,5234060,7862.704,485.920,0,2171.642,0,112.981,3443,4376,2.440,1.400,0.770,0,0,117.981,0,0,11,4,0,14,0
28-04 22:57:45,14.799,4.264,81.019,0,0,1295856,1238456,167324,5234060,5871.496,487.619,0,4.013,0,1.003,1742,1571,2.440,1.400,0.770,1,0,22.073,0,0,11,4,0,14,0
28-04 22:57:46,23.176,2.492,73.265,0,0,1333120,1201188,167324,5234064,10807.359,484.447,0,749.597,0,56.818,1841,1313,2.440,1.400,0.770,1,0,0,0,0,11,4,0,14,0
28-04 22:57:47,18.244,1.999,70.976,7.248,0,1355500,1178508,167388,5234296,9208.907,485.837,0,1167.608,0,131.956,3082,4174,2.440,1.400,0.770,2,1,1.000,0,0,11,10,0,13,0
28-04 22:57:48,20.267,4.504,69.560,4.504,0,1297268,1236696,167432,5234296,6606.669,486.417,44.038,3386.906,3.003,204.175,3081,3423,2.330,1.400,0.770,1,0,42.036,0,0,11,4,0,15,0
28-04 22:57:49,17.984,2.498,77.930,1.499,0,1337436,1195648,167696,5234844,7114.608,2934.364,567.490,811.271,14.987,6.994,1627,1283,2.330,1.400,0.770,2,0,0,0,0,11,9,0,15,0
28-04 22:57:50,19.270,3.253,64.067,12.013,0,1340816,1191868,167780,5235076,13156.840,2832.980,268.282,6270.596,66.070,257.271,3071,4253,2.330,1.400,0.770,1,1,2.002,0,0,11,27,0,15,0
28-04 22:57:51,18.551,6.518,73.704,0.251,0,1368104,1164520,167780,5235088,12482.577,4394.172,0,21266.911,0,194.539,3088,2826,2.330,1.400,0.770,1,0,45.125,0,0,11,28,0,16,0
28-04 22:57:52,23.411,5.977,69.238,0,0,1389224,1143392,167780,5235024,14440.289,4602.562,0,20785.249,0,253.041,3659,15249,2.330,1.400,0.770,1,0,35.864,0,0,11,29,0,17,0
28-04 22:57:53,24.097,11.546,55.222,8.534,0,1357012,1175572,167784,5235120,11151.761,3272.134,0,33341.828,0,194.782,4391,3220,2.380,1.420,0.790,3,0,158.637,0,0,11,28,0,18,0
28-04 22:57:54,36.634,4.984,57.318,0,0,1433828,1098740,167784,5235128,18173.357,8321.605,0,14047.444,0,126.598,3642,2828,2.380,1.420,0.790,3,0,0,0,0,11,30,0,18,0
28-04 22:57:55,32.845,6.017,57.416,3.510,0,1373472,1158888,167788,5235332,19329.898,11313.717,0,1002.900,0,29.084,5954,7643,2.380,1.420,0.790,5,0,74.215,0,0,11,28,0,19,0
28-04 22:57:56,72.557,23.687,3.740,0,0,1579280,953008,167792,5235368,4470.098,484.709,0,323.140,0,25.931,5592,4560,2.380,1.420,0.790,6,0,502.662,0,0,11,28,0,18,0
28-04 22:57:57,88.373,9.513,2.503,0,0,1772980,759272,167796,5235392,26228.372,21072.222,0,801.111,0,10.014,5939,5411,2.380,1.420,0.790,4,0,0,0,0,11,33,1,18,0
28-04 22:57:58,62.312,11.511,24.775,0.250,0,1596120,935860,167800,5235652,36263.166,24538.473,0,616.615,0,63.063,8470,12668,2.270,1.420,0.790,1,0,250.250,0,0,11,29,0,23,0
28-04 22:57:59,19.202,5.985,73.069,0.249,0,1570364,961588,167820,5235660,6745.264,1442.421,0,646.396,0,21.946,2674,2208,2.270,1.420,0.790,1,0,59.851,0,0,11,28,0,24,0
28-04 22:58:00,16.785,2.255,80.417,0,0,1565720,966196,167824,5235668,13491.056,6283.066,0,176.367,0,11.023,2406,2326,2.270,1.420,0.790,0,0,6.013,0,0,11,29,0,23,0
28-04 22:58:01,18.506,6.502,72.775,1.000,0,1516632,1015256,167840,5235680,7660.646,1642.567,0,692.239,0,42.015,3152,2992,2.270,1.420,0.790,1,0,69.024,0,0,11,28,0,24,0
28-04 22:58:02,18.489,1.999,78.701,0,0,1523696,1008184,167840,5235688,13710.508,5021.890,0,0,0,0,2161,1994,2.270,1.420,0.790,2,0,0,0,0,11,29,0,24,0
28-04 22:58:03,11.257,13.508,73.043,2.001,0,1471740,1060096,167852,5235720,10259.024,2913.711,0,1020.599,0,68.040,5114,5090,2.170,1.410,0.790,1,0,361.212,0,0,11,28,0,25,0
28-04 22:58:04,49.023,27.013,23.011,0,0,1496884,1034932,167860,5235736,4059.900,486.228,0,2589.212,0,347.162,6386,5234,2.170,1.410,0.790,4,3,677.317,0,0,11,28,0,20,0
28-04 22:58:05,82.730,8.248,8.498,0.250,0,1685844,845932,167860,5235776,26033.826,18398.636,0,2707.358,0,77.982,5183,3833,2.170,1.410,0.790,4,0,0,0,0,11,33,0,20,0
28-04 22:58:06,73.705,9.744,14.991,0.999,0,1663872,867468,167872,5236280,39552.661,31747.464,0,627.614,0,72.955,9830,16105,2.170,1.410,0.790,5,0,59.963,0,0,11,28,1,21,0
28-04 22:58:07,82.148,17.229,0,0,0,1657080,874248,167872,5236292,6333.166,2887.428,0,267.669,0,15.980,5474,4036,2.170,1.410,0.790,6,0,249.691,0,0,11,29,0,21,0
28-04 22:58:08,83.191,9.271,7.768,0,0,1772956,758340,167872,5236328,39649.160,30666.508,0,2361.429,0,113.260,7302,7959,2.390,1.470,0.810,6,0,0,0,0,11,33,0,18,1
28-04 22:58:09,69.294,12.712,16.451,0.997,0,1567040,964004,167872,5236580,41417.757,30630.854,0,474.588,0,38.884,9588,14822,2.390,1.470,0.810,3,0,247.264,0,0,11,28,0,23,0
28-04 22:58:10,41.745,7.249,49.994,0.250,0,1507508,1023492,167876,5236620,12216.554,4417.477,0,519.938,0,12.998,3090,1732,2.390,1.470,0.810,0,0,49.994,0,0,11,30,0,23,0
28-04 22:58:11,31.057,4.258,63.117,0.501,0,1495808,1035020,167884,5236784,23060.681,13686.331,0,280.519,0,20.037,5234,6703,2.390,1.470,0.810,3,0,41.076,0,0,11,29,0,24,0
28-04 22:58:12,59.857,16.211,23.195,0,0,1559536,971252,167888,5236820,6783.806,1668.018,0,255.390,0,17.957,4684,3157,2.390,1.470,0.810,3,0,337.195,0,0,11,28,0,25,0
28-04 22:58:13,43.627,5.015,50.397,0.251,0,1595972,934764,167896,5236864,32282.078,22365.178,0,188.549,0,8.023,5281,6342,2.280,1.460,0.810,2,0,0,0,0,11,31,0,25,0
28-04 22:58:14,69.045,17.511,12.508,1.001,0,1525128,1005544,167912,5236912,16357.625,6952.516,0,496.322,0,45.029,6985,6968,2.280,1.460,0.810,4,0,258.168,0,0,11,28,0,26,0
28-04 22:58:15,68.212,6.496,24.236,0.250,0,1623396,907124,167912,5237064,22735.241,18962.359,0,183.897,0,6.996,5111,4199,2.280,1.460,0.810,2,0,0,0,0,11,32,0,26,0
28-04 22:58:16,58.782,14.008,25.764,0.750,0,1538440,991852,167928,5237272,33777.658,22223.275,0,936.517,0,68.038,9120,13277,2.280,1.460,0.810,3,0,324.179,0,0,11,28,0,29,0
28-04 22:58:17,54.087,5.234,39.381,0.748,0,1578684,951560,167932,5237316,19406.396,10587.029,0,183.446,0,7.976,3974,2755,2.280,1.460,0.810,5,0,0,0,0,11,31,0,29,0
28-04 22:58:18,49.350,10.772,37.827,0.752,0,1543308,986864,167948,5237372,30539.975,19391.351,0,400.813,0,37.075,7985,10645,2.500,1.520,0.840,4,0,267.543,0,0,11,28,0,31,0
28-04 22:58:19,63.743,10.249,24.747,0.750,0,1579208,950940,167948,5237396,7460.181,1785.804,0,223.975,0,10.999,3939,1713,2.500,1.520,0.840,1,0,31.996,0,0,11,30,0,31,0
28-04 22:58:20,42.042,4.504,52.051,0.250,0,1579572,950224,167968,5237720,29398.085,24395.136,0,820.812,0,25.025,6503,8838,2.500,1.520,0.840,4,0,0,0,0,11,29,0,30,1
28-04 22:58:21,63.507,16.002,20.502,0.250,0,1559916,969852,167968,5237748,14208.510,3260.347,0,200.021,0,14.001,4774,3600,2.500,1.520,0.840,3,0,288.031,0,0,11,28,0,32,0
28-04 22:58:22,45.323,4.981,48.560,0,0,1585840,943756,167972,5237916,27992.713,21766.023,0,163.362,0,5.977,4679,6079,2.500,1.520,0.840,2,0,0,0,0,11,31,0,32,0
28-04 22:58:23,59.306,11.010,27.026,1.752,0,1572000,957400,167976,5238100,12635.969,4898.640,0,2814.666,0,124.118,5558,5048,2.540,1.540,0.850,3,0,112.106,0,0,11,28,0,34,0
28-04 22:58:24,49.884,5.515,43.867,0.251,0,1610148,919192,167976,5238160,25745.918,16682.657,0,220.590,0,12.032,4988,4757,2.540,1.540,0.850,3,0,0,0,0,11,31,0,34,0
28-04 22:58:25,56.746,19.499,21.498,1.000,0,1513696,1015572,168020,5238188,20889.474,9980.271,0,1475.892,0,109.992,7334,8991,2.540,1.540,0.850,7,0,495.964,0,0,11,28,0,36,0
28-04 22:58:26,82.987,16.497,0.250,0.750,0,1699096,830060,168020,5238264,5870.057,2696.567,0,239.961,0,15.997,5615,4772,2.540,1.540,0.850,7,0,422.932,0,0,11,29,0,36,0
28-04 22:58:27,73.960,17.740,7.996,0.250,0,1796692,732196,168020,5238520,46933.776,42721.040,0,91.951,0,3.998,8967,10800,2.540,1.540,0.850,4,5,501.730,0,0,11,33,0,37,0
28-04 22:58:28,75.002,19.251,5.000,0.500,0,1668552,860072,168052,5238748,23837.667,19365.542,0,672.019,0,63.002,7078,7963,2.820,1.620,0.870,5,0,403.011,0,0,11,28,0,37,0
28-04 22:58:29,80.326,10.228,8.981,0,0,1697636,830948,168052,5238788,21364.702,12875.099,0,167.637,0,8.981,5134,3480,2.820,1.620,0.870,4,0,29.935,0,0,11,32,0,37,0
28-04 22:58:30,70.169,9.774,19.046,0,0,1582944,945424,168052,5239000,42117.673,34495.273,0,128.310,0,11.027,8663,13453,2.820,1.620,0.870,3,0,125.302,0,0,11,30,0,40,0
28-04 22:58:31,23.189,15.460,59.844,0.249,0,1465496,1062800,168052,5239064,19671.569,10453.669,0,203.468,0,11.969,6167,7497,2.820,1.620,0.870,2,0,445.834,0,0,11,28,0,42,0
28-04 22:58:32,35.119,32.359,32.359,0.251,0,1467124,1061148,168052,5239088,7860.596,487.650,0,208.706,0,18.061,6643,6261,2.820,1.620,0.870,5,0,956.235,0,0,11,28,0,42,0
28-04 22:58:33,73.731,10.497,15.496,0,0,1619736,908480,168052,5239144,20850.611,11753.962,0,67.982,0,3.999,4852,3689,2.830,1.640,0.890,3,0,78.980,0,0,11,31,0,42,0
28-04 22:58:34,57.264,11.253,30.008,0,0,1569740,958212,168116,5239340,31881.000,21968.512,0,944.237,0,80.020,7283,11007,2.830,1.640,0.890,5,0,186.047,0,0,11,28,0,45,1
28-04 22:58:35,78.471,11.496,10.246,0,0,1628428,899508,168116,5239360,11120.898,7423.262,0,183.932,0,7.997,4745,2621,2.830,1.640,0.890,3,0,81.970,0,0,11,31,0,46,0
28-04 22:58:36,56.732,5.998,35.739,0.500,0,1632464,895236,168120,5239600,41238.055,35097.982,0,351.890,0,43.986,10108,15357,2.830,1.640,0.890,2,0,0,0,0,11,32,0,46,0
28-04 22:58:37,61.290,8.005,29.770,0,0,1583908,943520,168160,5239784,42860.154,29047.081,0,440.289,0,50.033,9938,16490,2.830,1.640,0.890,4,0,62.041,0,0,11,29,0,46,0
28-04 22:58:38,76.251,11.250,12.250,0,0,1584936,942440,168164,5239828,20412.170,9658.081,0,236.002,0,23.000,5027,4199,2.850,1.660,0.900,3,0,60.001,0,0,11,30,0,46,0
28-04 22:58:39,59.407,5.991,33.947,0,0,1622832,904312,168168,5240052,42154.106,31414.893,0,147.769,0,7.988,7119,12059,2.850,1.660,0.900,3,0,0,0,0,11,32,0,46,0
28-04 22:58:40,56.061,10.261,33.536,0,0,1593408,933436,168196,5240312,45992.646,36152.024,0,1581.707,0,97.105,11250,18603,2.850,1.660,0.900,4,0,142.153,0,0,11,29,0,49,0
28-04 22:58:41,76.266,13.253,10.252,0,0,1588076,938736,168204,5240336,19826.187,10404.197,0,1456.308,0,17.004,5273,4578,2.850,1.660,0.900,3,0,119.025,0,0,11,30,0,50,0
28-04 22:58:42,59.916,6.990,31.456,0,0,1615764,910828,168204,5240548,38892.466,30631.050,0,11.983,0,1.997,7463,11187,2.850,1.660,0.900,3,0,0,0,0,11,32,0,50,0
28-04 22:58:43,69.615,12.270,17.278,0.250,0,1527340,999164,168224,5240616,22050.332,16689.499,0,388.640,0,36.059,8513,11022,2.940,1.700,0.920,4,0,128.211,0,0,11,28,0,52,0
28-04 22:58:44,69.496,8.750,21.499,0,0.250,1638812,887512,168232,5240780,23864.654,15803.109,0,3751.788,0,170.990,5240,4201,2.940,1.700,0.920,3,0,0,0,0,11,32,0,52,0
28-04 22:58:45,65.633,11.480,21.462,0.250,0,1584400,941836,168236,5240860,30590.580,21165.347,0,311.446,0,26.952,7516,10945,2.940,1.700,0.920,5,0,119.787,0,0,11,30,0,53,0
28-04 22:58:46,66.373,11.271,22.542,0,0,1610052,915984,168236,5241056,29688.870,25396.938,0,96.178,0,3.006,6532,8983,2.940,1.700,0.920,4,0,141.261,0,0,11,30,0,55,0
28-04 22:58:47,69.490,10.998,18.997,0,0,1567056,958920,168236,5241112,25666.396,16769.645,0,0,0,0,6055,6684,2.940,1.700,0.920,3,0,85.988,0,0,11,30,0,57,0
28-04 22:58:48,72.727,9.497,17.494,0,0,1627772,898156,168244,5241152,22895.698,16206.831,0,67.978,0,5.998,5180,5956,2.940,1.730,0.930,3,0,67.978,0,0,11,30,0,59,0
28-04 22:58:49,68.387,7.238,23.961,0.250,0,1670868,854852,168256,5241344,32206.986,21768.169,0,227.625,0,20.965,6225,7862,2.940,1.730,0.930,5,1,4.992,0,0,11,31,0,58,0
28-04 22:58:50,56.105,14.277,28.053,1.002,0,1561356,964304,168280,5241380,14202.642,7265.629,0,541.015,0,52.098,6146,5879,2.940,1.730,0.930,3,0,254.477,0,0,11,30,0,61,0
28-04 22:58:51,52.456,6.994,39.217,0.749,0,1585688,939900,168292,5241436,16552.214,12684.436,0,583.514,0,28.976,4142,4213,2.940,1.730,0.930,2,0,1.998,0,0,11,35,0,61,0
28-04 22:58:52,53.049,10.211,35.864,0,0,1586276,939116,168296,5245048,29944.495,19022.894,0,239.094,0,11.955,6687,18135,2.940,1.730,0.930,5,0,131.502,0,0,12,34,0,63,0
28-04 22:58:53,60.287,10.048,29.641,0,0,1579100,946212,168296,5241700,16148.797,5980.441,0,180.860,0,10.048,4250,5359,2.950,1.750,0.940,3,0,86.411,0,0,11,33,0,62,0
28-04 22:58:54,45.714,7.494,46.214,0.500,0,1508248,1016856,168296,5241904,22480.279,17687.058,0,247.805,0,19.984,4992,6424,2.950,1.750,0.940,3,0,85.932,0,0,11,34,0,63,0
28-04 22:58:55,29.010,8.503,59.270,1.751,0,1485328,1039720,168312,5241944,20547.011,10638.630,0,2812.960,0,155.053,6114,7103,2.950,1.750,0.940,2,0,135.046,0,0,11,32,0,65,0
28-04 22:58:56,37.898,4.488,56.348,0.249,0.249,1531820,993220,168316,5241948,10429.843,4790.069,0,163.558,0,9.973,2780,1777,2.950,1.750,0.940,2,0,0,0,0,11,34,0,65,0
28-04 22:58:57,35.863,4.765,59.187,0,0,1480140,1044696,168316,5242148,23482.203,13731.391,0,216.685,0,14.044,5104,6395,2.950,1.750,0.940,2,0,34.108,0,0,11,32,0,66,0
28-04 22:58:58,38.613,8.470,51.568,0.249,0,1542752,982064,168320,5242160,8939.366,2443.354,0,199.295,0,11.958,3250,2037,2.790,1.730,0.940,2,0,103.633,0,0,11,33,0,66,0
28-04 22:58:59,31.305,5.760,62.109,0.250,0,1472432,1052340,168328,5242196,17505.640,13605.814,0,336.589,0,34.060,4512,5588,2.790,1.730,0.940,1,0,60.105,0,0,11,33,0,67,0
28-04 22:59:00,37.251,5.750,54.001,2.500,0,1488848,1035904,168340,5242204,13414.318,4407.105,0,1460.035,0,164.004,3230,2501,2.790,1.730,0.940,2,0,6.000,0,0,11,33,0,68,0
28-04 22:59:01,34.685,3.743,59.888,0,0,1517216,1007376,168340,5242364,22979.095,14851.271,0,151.717,0,9.981,4461,5398,2.790,1.730,0.940,2,0,5.989,0,0,11,33,0,62,0
28-04 22:59:02,37.747,7.250,54.746,0,0,1473472,1051088,168352,5242384,14246.030,6144.582,0,271.981,0,24.998,4672,4717,2.790,1.730,0.940,2,0,47.997,0,0,11,32,0,63,0
28-04 22:59:03,33.876,4.768,59.722,0.753,0.251,1511048,1013480,168352,5242416,18385.458,13045.575,0,184.688,0,11.041,3834,3641,2.650,1.720,0.940,0,0,0,0,0,11,34,0,63,0
28-04 22:59:04,28.219,10.738,60.184,0.499,0,1493936,1030452,168380,5242516,25598.762,10324.611,0,355.608,0,36.959,6577,7581,2.650,1.720,0.940,2,0,245.729,0,0,11,32,0,65,0
28-04 22:59:05,21.939,4.238,72.297,0.499,0,1476132,1048236,168392,5242524,9306.917,725.965,0,1220.579,0,148.584,2182,1548,2.650,1.720,0.940,0,0,35.899,0,0,11,32,1,64,0
28-04 22:59:06,12.504,1.751,84.277,0,0,1464676,1059668,168400,5242540,14330.512,10017.154,0,464.146,0,53.017,2918,3564,2.650,1.720,0.940,0,0,0,0,0,11,33,0,64,0
28-04 22:59:07,14.757,12.506,71.284,0.750,0,1436720,1087612,168400,5242556,6477.089,1467.700,0,340.162,0,29.014,4545,4076,2.650,1.720,0.940,1,0,284.136,0,0,11,32,0,65,0
28-04 22:59:08,18.730,2.497,77.668,0.250,0,1482540,1041780,168400,5242568,13982.277,5512.196,0,175.815,0,7.992,1957,1632,2.600,1.730,0.940,1,0,0,0,0,11,33,0,65,0
