"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","23 Feb 2026 22:05:04 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
23-02 22:05:04,,973888,1526928,162468,5155644,,,,,,,1.410,1.080,0.660,2,0,,,,10,5,0,18,0
23-02 22:05:05,17.204,20.445,56.099,5.236,0,993860,1506280,162644,5156016,42492.858,12756.734,0,2780.531,0,104.719,6582,5858,1.410,1.080,0.660,2,0,540.548,0,0,10,6,0,18,0
23-02 22:05:06,26.557,17.287,50.358,4.510,0,997844,1501448,162796,5156588,21807.779,12012.768,0,1863.998,0,60.129,6334,6598,1.460,1.090,0.670,3,0,390.838,0,0,10,6,0,17,0
23-02 22:05:07,29.498,11.249,56.746,2.500,0,1136716,1361628,162968,5281964,42741.041,12817.113,0,1771.877,0,54.996,6065,7479,1.460,1.090,0.670,2,0,159.989,0,0,11,5,0,17,1
23-02 22:05:08,19.197,6.233,67.063,6.233,0,1149004,1333448,163148,5297068,183034.741,12272.853,0,2421.263,0,54.847,2855,2304,1.460,1.090,0.670,3,0,90.748,0,0,11,7,0,17,1
23-02 22:05:09,36.502,11.251,48.753,3.000,0,1181992,1284780,164040,5309572,5618.383,672.046,0,2204.150,0,76.005,4678,3549,1.460,1.090,0.670,2,0,196.013,0,0,11,6,0,19,2
23-02 22:05:10,38.750,4.750,46.750,9.500,0.250,1238124,1210060,164528,5325608,6620.008,540.001,448.001,2960.003,16.000,50.000,2892,1803,1.460,1.090,0.670,3,0,0,0,0,11,6,0,19,2
23-02 22:05:11,36.248,3.750,47.497,9.999,0,1290584,1136852,165092,5343888,7666.507,579.963,127.992,2923.812,6.000,87.994,3063,2218,1.500,1.110,0.670,3,1,1.000,0,0,11,8,0,19,2
23-02 22:05:12,18.756,4.501,43.014,32.260,0,1296616,1118580,166032,5353476,8917.814,540.170,0,9679.054,0,542.171,5928,9249,1.500,1.110,0.670,0,2,9.003,0,0,11,8,0,19,2
23-02 22:05:13,11.247,2.999,39.491,44.240,0,1300200,1107800,166344,5359540,8273.068,539.874,0,14356.648,0,676.842,3952,6216,1.500,1.110,0.670,1,3,0,0,0,11,8,0,19,2
23-02 22:05:14,17.791,3.759,44.602,32.324,0,1297236,1086504,167216,5381108,5682.045,541.243,0,10548.217,0,709.629,4846,7434,1.500,1.110,0.670,1,1,0,0,0,11,8,0,19,2
23-02 22:05:15,17.221,2.246,41.430,36.938,0,1299236,1074280,167968,5389204,3829.558,539.093,0,9919.314,0,595.997,4858,7628,1.500,1.110,0.670,4,0,12.978,0,0,11,8,0,19,2
23-02 22:05:16,10.519,3.506,39.320,44.580,0,1316268,1072040,168224,5374168,15114.981,3272.842,0,11340.243,0,681.216,4612,7421,1.540,1.120,0.680,3,2,6.011,0,0,11,6,0,19,0
23-02 22:05:17,20.208,4.241,37.921,34.428,0,1267520,1120176,168360,5374648,6121.276,538.880,0,12086.875,0,906.116,5236,8065,1.540,1.120,0.680,1,3,27.942,0,0,11,6,0,19,0
23-02 22:05:18,17.289,4.009,48.107,29.315,0,1260356,1121468,168528,5379792,14028.306,2776.195,0,6767.102,0,582.299,4555,7171,1.540,1.120,0.680,4,1,26.058,0,0,11,6,0,19,0
23-02 22:05:19,19.694,3.490,39.636,34.900,0,1273092,1106392,168620,5382044,5927.008,964.236,0,13349.727,0,770.790,4959,6897,1.540,1.120,0.680,0,1,23.931,0,0,11,7,0,19,0
23-02 22:05:20,14.275,3.506,46.082,33.560,0,1265100,1107056,169092,5387712,15237.175,3233.767,0,11917.254,0,742.324,5124,8751,1.540,1.120,0.680,2,0,5.009,0,0,11,6,0,19,0
23-02 22:05:21,22.234,7.245,38.223,29.729,0,1252540,1117676,169332,5389272,7001.039,581.588,0,9900.985,0,556.606,13137,24319,1.660,1.160,0.690,1,1,12.991,0,0,11,6,0,19,0
23-02 22:05:22,26.737,7.996,35.982,27.736,0,1268128,1101172,169612,5389836,3896.068,539.732,0,14900.609,0,937.535,13497,25347,1.660,1.160,0.690,2,2,36.982,0,0,11,6,0,19,0
23-02 22:05:23,32.345,8.525,45.885,12.537,0,1138164,1243560,169696,5378696,7783.921,541.595,0,4473.172,0,333.983,5263,6311,1.660,1.160,0.690,3,0,110.325,0,0,11,4,0,19,0
23-02 22:05:24,32.158,5.734,55.342,5.734,0,1168968,1212740,169708,5378700,7098.689,538.459,0,9975.458,0,198.432,3207,2561,1.660,1.160,0.690,2,0,49.857,0,0,11,4,0,19,0
23-02 22:05:25,23.498,3.000,57.496,15.249,0,1151496,1230180,169720,5378720,5018.634,539.961,0,8287.395,0,91.993,2148,1611,1.660,1.160,0.690,2,0,10.999,0,0,11,4,0,19,0
23-02 22:05:26,23.501,3.500,59.253,13.001,0,1167244,1214396,169752,5378724,10217.488,486.023,0,6824.326,0,404.019,2772,3161,1.600,1.150,0.690,3,0,0,0,0,11,4,0,15,0
23-02 22:05:27,17.752,9.501,70.007,2.250,0,1145568,1236052,169760,5378736,7763.785,540.055,0,80.008,0,9.001,3506,2477,1.600,1.150,0.690,2,2,161.016,0,0,11,4,0,15,0
23-02 22:05:28,9.499,19.999,67.996,1.250,0,1116992,1264568,169760,5378788,10769.309,539.965,0,99.994,0,10.999,5877,4621,1.600,1.150,0.690,2,0,425.973,0,0,11,4,0,15,0
23-02 22:05:29,17.540,15.034,66.149,0.251,0,1114056,1267332,169760,5378928,5968.481,541.222,0,938.119,0,104.235,6351,7619,1.600,1.150,0.690,1,0,267.604,0,0,11,4,0,15,0
23-02 22:05:30,45.268,9.754,45.018,0.500,0,1188536,1185368,169760,5386856,5294.101,540.214,7450.957,7530.989,75.030,33.013,3896,2553,1.600,1.150,0.690,2,0,123.049,0,0,11,5,0,13,0
23-02 22:05:31,44.132,6.981,48.621,0.249,0,1227808,1145048,169768,5387896,12615.409,538.566,510.640,17050.600,7.979,189.495,3332,2029,1.720,1.180,0.710,2,0,0,0,0,11,5,0,13,0
23-02 22:05:32,37.258,8.752,50.761,1.750,0,1259684,1110780,169800,5390216,5312.159,540.118,0,8613.880,0,189.041,4520,4401,1.720,1.180,0.710,1,0,98.021,0,0,11,4,0,14,0
23-02 22:05:33,19.037,5.010,75.397,0,0,1319828,1050632,169812,5390204,3127.106,541.056,0,2645.165,0,38.074,2321,2010,1.720,1.180,0.710,1,0,42.082,0,0,11,4,0,14,0
23-02 22:05:34,23.709,1.997,71.877,1.747,0,1349288,1021176,169812,5390216,6622.651,485.169,0,407.302,0,60.896,1735,1100,1.720,1.180,0.710,1,0,0,0,0,11,4,0,14,0
23-02 22:05:35,19.039,3.006,70.897,5.511,0,1375188,994968,169876,5390456,5579.559,541.121,0,1867.870,0,193.401,3606,5108,1.720,1.180,0.710,1,0,2.004,0,0,11,4,0,16,0
23-02 22:05:36,19.195,5.983,64.566,9.473,0,1347448,1021996,170164,5390804,12443.580,538.467,610.263,2628.518,17.949,152.566,2661,2337,1.660,1.180,0.710,1,0,47.864,0,0,11,4,0,16,0
23-02 22:05:37,17.005,2.501,77.524,1.751,0,1364752,1004464,170164,5391000,11472.607,4489.412,4.001,1160.365,1.000,19.006,2273,2308,1.660,1.180,0.710,0,0,1.000,0,0,11,17,0,16,0
23-02 22:05:38,18.283,3.256,75.134,2.755,0,1375140,993576,170204,5391380,10147.094,5094.084,268.479,605.079,66.118,21.038,2473,2190,1.660,1.180,0.710,2,0,29.052,0,0,11,28,0,15,0
23-02 22:05:39,20.448,4.489,74.560,0,0,1446820,921876,170204,5391384,10435.382,2499.624,0,3.990,0,0.997,1945,1346,1.660,1.180,0.710,0,0,15.959,0,0,11,29,0,15,0
23-02 22:05:40,17.280,7.763,74.379,0,0,1446040,922636,170204,5391404,13852.974,5436.408,0,3105.374,0,60.104,3259,2768,1.660,1.180,0.710,3,0,156.270,0,0,11,28,0,16,0
23-02 22:05:41,38.422,6.487,54.888,0,0,1566500,802168,170204,5391412,10218.182,4653.519,0,0,0,0,2651,1387,1.690,1.190,0.720,0,0,0,0,0,11,30,0,16,0
23-02 22:05:42,28.774,4.003,59.550,6.505,0,1552828,815632,170208,5391616,21355.805,13530.281,0,6513.430,0,84.070,6418,8567,1.690,1.190,0.720,1,1,0,0,0,11,30,0,16,0
23-02 22:05:43,55.281,22.763,18.260,3.252,0,1500832,867596,170224,5391632,8351.627,1826.012,0,18570.289,0,245.136,6158,6086,1.690,1.190,0.720,5,0,513.284,0,0,11,28,0,17,0
23-02 22:05:44,75.563,13.011,7.006,4.754,0,1719540,648860,170240,5391672,13381.121,6819.668,0,23227.304,0,212.176,5192,3556,1.690,1.190,0.720,2,4,65.054,0,0,11,32,0,17,0
23-02 22:05:45,62.100,6.761,21.034,8.764,0,1760972,607336,170256,5391740,32826.713,30287.636,0,15969.644,0,194.312,6985,9424,1.690,1.190,0.720,2,1,1.002,0,0,11,34,0,17,0
23-02 22:05:46,42.872,12.712,29.911,12.961,0,1497204,870868,170288,5391944,15747.024,10255.406,0,26728.265,0,179.465,6927,9442,1.950,1.260,0.740,2,1,309.078,0,0,11,28,0,23,0
23-02 22:05:47,18.247,3.749,74.986,2.749,0,1492904,875152,170300,5391948,8455.445,2750.494,0,3151.420,0,51.990,1656,1370,1.950,1.260,0.740,1,0,0,0,0,11,29,0,23,0
23-02 22:05:48,16.750,5.000,75.748,2.500,0,1457504,910524,170312,5391964,10419.727,5334.860,0,419.989,0,28.999,3339,3559,1.950,1.260,0.740,3,0,52.999,0,0,11,28,0,24,0
23-02 22:05:49,21.995,3.999,72.483,0.750,0,1461976,906040,170316,5391972,8488.027,781.818,0,291.932,0,14.997,1937,1394,1.950,1.260,0.740,0,0,14.997,0,0,11,28,1,24,0
23-02 22:05:50,14.504,1.751,81.275,1.500,0,1451208,916776,170328,5391992,11827.662,7211.233,0,1112.344,0,35.011,2790,3415,1.950,1.260,0.740,1,0,0,0,0,11,28,0,25,0
23-02 22:05:51,10.782,24.070,64.438,0.251,0,1412468,955504,170328,5392004,7616.261,541.583,0,385.126,0,24.070,6609,5546,1.870,1.250,0.740,3,0,713.084,0,0,11,28,0,25,0
23-02 22:05:52,76.766,21.254,1.500,0,0,1604032,763908,170332,5392032,8386.752,540.113,0,5829.218,0,387.081,5437,3549,1.870,1.250,0.740,5,0,327.068,0,0,11,28,0,25,0
23-02 22:05:53,75.942,7.994,15.738,0,0,1700088,667724,170348,5392240,37759.088,35138.095,0,1498.852,0,87.933,7120,9785,1.870,1.250,0.740,2,0,0,0,0,11,33,0,25,0
23-02 22:05:54,70.779,18.258,9.754,0.250,0,1576056,791692,170376,5392276,21043.704,15251.308,0,1020.422,0,95.039,9480,13044,1.870,1.250,0.740,6,0,310.128,0,0,11,28,0,26,0
23-02 22:05:55,87.781,12.004,0,0,0,1715148,652500,170380,5392372,15286.468,6869.457,0,2228.797,0,88.031,5153,2941,1.870,1.250,0.740,6,0,1.000,0,0,11,30,0,22,0
23-02 22:05:56,76.227,11.247,11.747,0.500,0,1788608,578652,170404,5392736,48091.728,42882.274,0,751.777,0,40.988,9704,19660,2.450,1.380,0.790,4,0,85.974,0,0,11,32,0,24,1
23-02 22:05:57,55.828,13.957,28.911,0.249,0,1560412,806660,170412,5392920,23841.680,14683.843,0,534.357,0,29.908,6670,9034,2.450,1.380,0.790,2,0,247.240,0,0,11,28,0,28,0
23-02 22:05:58,33.766,3.502,61.529,0,0,1582176,784872,170412,5392944,14975.049,10516.951,0,116.055,0,8.004,3356,3180,2.450,1.380,0.790,1,0,0,0,0,11,30,0,28,0
23-02 22:05:59,55.409,19.807,24.821,0.251,0,1570084,796940,170420,5392960,15872.648,8832.401,0,344.992,0,29.084,6167,6838,2.450,1.380,0.790,3,0,379.090,0,0,11,28,0,25,0
23-02 22:06:00,52.214,5.496,41.971,0,0,1597348,769620,170424,5393012,19377.496,15386.278,0,187.869,0,5.996,3988,3727,2.450,1.380,0.790,3,0,0,0,0,11,31,0,25,0
23-02 22:06:01,55.151,17.469,26.203,0.250,0,1500184,866588,170432,5393200,19233.489,14065.762,0,491.119,0,44.919,7846,10006,2.570,1.430,0.800,5,0,257.538,0,0,11,28,0,26,0
23-02 22:06:02,71.787,7.504,20.761,0,0,1622580,744152,170432,5393240,23930.202,16188.255,0,156.080,0,8.004,4750,3125,2.570,1.430,0.800,4,0,0,0,0,11,32,0,26,0
23-02 22:06:03,61.093,15.023,23.786,0.501,0,1519764,846772,170444,5393424,32820.074,25348.675,0,1037.583,0,73.112,9971,14371,2.570,1.430,0.800,4,0,324.495,0,0,11,28,0,29,0
23-02 22:06:04,55.832,8.724,34.147,0,0,1595944,770532,170448,5393480,10608.027,6662.917,0,263.207,0,20.937,3580,2069,2.570,1.430,0.800,0,0,0,0,0,11,31,0,29,0
23-02 22:06:05,49.051,8.509,42.294,0.501,0,1558572,807692,170464,5393676,31843.944,23458.269,0,188.195,0,25.026,7595,11115,2.570,1.430,0.800,7,0,126.130,0,0,11,28,0,31,0
23-02 22:06:06,63.240,14.998,19.497,1.250,0,1587284,778960,170468,5393692,9696.400,485.920,0,1059.825,0,12.998,4054,2165,2.770,1.490,0.830,3,0,173.971,0,0,11,28,0,31,0
23-02 22:06:07,41.937,5.242,52.671,0.250,0,1581144,784912,170472,5393876,36193.611,27140.216,0,698.950,0,24.962,6979,9346,2.770,1.490,0.830,4,0,0,0,0,11,29,0,33,0
23-02 22:06:08,61.250,17.321,20.835,0,0,1537792,828236,170472,5393904,6155.166,1733.086,0,232.952,0,15.062,4524,3375,2.770,1.490,0.830,3,0,288.178,0,0,11,28,0,34,0
23-02 22:06:09,45.146,4.989,48.638,0.249,0,1574568,791216,170476,5394144,26859.137,24007.704,0,239.448,0,17.959,6441,8119,2.770,1.490,0.830,2,0,0,0,0,11,30,0,35,0
23-02 22:06:10,61.634,12.778,25.305,0,0,1514272,851352,170500,5394280,9596.850,2621.696,0,352.766,0,27.059,4970,3675,2.770,1.490,0.830,3,0,112.244,0,0,11,28,0,36,0
23-02 22:06:11,46.250,5.000,47.500,0.250,0,1570248,795300,170504,5394352,27614.113,21818.089,0,316.001,0,27.000,6004,7106,2.700,1.490,0.830,2,0,0,0,0,11,30,0,35,0
23-02 22:06:12,62.758,26.753,9.751,0.500,0,1523644,841876,170532,5394352,13340.676,4883.613,0,512.064,0,45.006,6858,7403,2.700,1.490,0.830,8,0,625.079,0,0,11,28,0,36,0
23-02 22:06:13,83.251,17.250,0.250,0,0,1712752,652668,170544,5394440,15673.251,8552.137,0,2812.045,0,112.002,6105,4915,2.700,1.490,0.830,6,0,400.006,0,0,11,31,0,36,0
23-02 22:06:14,77.739,16.748,4.749,0,0,1772212,592972,170568,5394648,52517.669,41968.142,0,1431.800,0,91.987,8203,10652,2.700,1.490,0.830,8,0,503.930,0,0,11,31,0,36,0
23-02 22:06:15,80.260,18.752,0.750,0,0,1706040,659028,170576,5394748,20929.707,14608.889,0,368.048,0,35.005,7100,7820,2.700,1.490,0.830,6,0,229.030,0,0,11,28,0,37,0
23-02 22:06:16,80.248,11.250,8.500,0,0,1735608,629248,170576,5394956,24157.415,20608.501,0,163.996,0,8.000,6042,5809,2.810,1.540,0.850,4,0,98.998,0,0,11,32,0,37,0
