"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","01 May 2026 20:38:20 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
01-05 20:38:20,,1001492,1640960,163280,5016492,,,,,,,1.560,1.090,0.640,2,0,,,,10,6,0,17,0
01-05 20:38:21,12.998,19.997,62.741,4.249,0,1010808,1631212,163296,5016836,15683.798,7630.929,0,1159.837,0,38.995,6224,5245,1.510,1.090,0.650,4,0,479.933,0,0,10,6,0,17,0
01-05 20:38:22,23.742,18.244,54.481,1.499,0,1044448,1597256,163308,5017016,12419.673,6861.609,0,2191.237,0,37.987,6449,6737,1.510,1.090,0.650,1,0,377.868,0,0,10,5,0,17,1
01-05 20:38:23,26.761,14.756,52.772,5.252,0,1036848,1604456,163356,5017272,44268.619,11752.943,0,1740.732,0,52.022,6330,8149,1.510,1.090,0.650,3,0,261.110,0,0,10,4,0,17,2
01-05 20:38:24,22.686,8.476,65.565,1.994,0,1161200,1479128,163360,5142880,22975.112,10550.203,0,1543.640,0,44.873,4019,3841,1.510,1.090,0.650,1,1,103.707,0,0,11,6,0,17,2
01-05 20:38:25,32.251,9.750,52.752,4.500,0,1187072,1430864,163724,5163556,174608.893,4703.213,84.004,3088.140,7.000,104.005,4517,3616,1.510,1.090,0.650,2,0,191.009,0,0,11,6,0,19,2
01-05 20:38:26,37.503,5.751,48.504,7.251,0,1251060,1345392,164740,5181196,9399.819,540.047,1784.156,2744.239,114.010,42.004,2907,1931,1.550,1.100,0.650,2,0,0,0,0,11,6,0,19,2
01-05 20:38:27,38.991,4.249,46.239,9.248,0,1283728,1298664,165092,5192896,8449.013,485.886,127.970,6990.356,5.999,153.964,3303,2806,1.550,1.100,0.650,2,0,1.000,0,0,11,8,0,19,2
01-05 20:38:28,17.243,3.749,46.482,31.238,0,1310792,1252156,165784,5210080,7841.984,485.813,0,7717.032,0,452.826,4730,7214,1.550,1.100,0.650,1,1,8.997,0,0,11,8,0,19,2
01-05 20:38:29,14.504,3.501,39.262,40.762,0,1303228,1249232,166528,5218408,2783.828,486.145,0,10659.172,0,760.226,4476,6601,1.550,1.100,0.650,3,1,0,0,0,11,8,0,19,2
01-05 20:38:30,17.016,3.503,42.291,34.533,0,1299288,1229196,167296,5239884,8015.729,486.469,0,10838.451,0,638.616,5000,7835,1.550,1.100,0.650,2,1,0,0,0,11,8,0,19,2
01-05 20:38:31,17.474,2.996,35.698,41.190,0,1300056,1219520,167828,5247148,6565.371,539.209,0,11443.216,0,754.893,5034,7884,1.590,1.120,0.660,2,2,8.987,0,0,11,8,0,19,2
01-05 20:38:32,14.254,3.251,42.511,38.010,0,1297392,1214964,168412,5252692,3179.858,486.131,0,9914.674,0,617.166,4623,7398,1.590,1.120,0.660,1,3,9.002,0,0,11,8,0,19,2
01-05 20:38:33,10.008,2.752,40.532,45.286,0,1298296,1230952,168496,5236100,15545.254,3215.535,0,11589.135,0,794.626,4280,6960,1.590,1.120,0.660,1,1,0,0,0,11,6,0,19,0
01-05 20:38:34,21.735,4.747,39.973,31.729,0,1251812,1276800,168568,5236664,7797.790,485.675,0,9061.945,0,741.505,5859,9061,1.590,1.120,0.660,2,1,34.977,0,0,11,6,0,19,0
01-05 20:38:35,18.500,3.750,47.250,28.500,0,1261712,1260836,168684,5242088,16150.027,2770.005,0,7152.012,0,494.001,5836,9574,1.590,1.120,0.660,1,1,26.000,0,0,11,6,0,19,0
01-05 20:38:36,21.506,4.251,33.509,38.260,0,1258908,1261600,168768,5243844,9235.480,1033.277,0,10902.928,0,752.202,5281,7969,1.700,1.150,0.670,1,1,21.006,0,0,11,7,0,19,0
01-05 20:38:37,11.999,3.500,44.247,37.497,0,1254644,1257640,169088,5250636,9685.238,2933.769,0,9415.259,0,717.943,4819,8272,1.700,1.150,0.670,1,2,1.000,0,0,11,7,0,19,0
01-05 20:38:38,16.247,5.749,36.243,39.743,0,1253672,1258648,169172,5250288,9380.290,701.872,0,13693.503,0,295.946,11560,21255,1.700,1.150,0.670,1,6,12.998,0,0,11,6,0,19,0
01-05 20:38:39,8.005,3.252,27.517,59.786,0,1231216,1280700,169268,5250744,8249.953,486.292,0,18827.303,0,683.410,3118,4396,1.700,1.150,0.670,1,1,0,0,0,11,6,0,19,0
01-05 20:38:40,25.236,8.995,43.726,19.739,0,1244988,1266084,169524,5251276,8410.319,485.730,0,11481.610,0,804.552,14935,27840,1.700,1.150,0.670,1,2,40.977,0,0,11,6,0,19,0
01-05 20:38:41,27.079,7.020,40.117,24.070,0,1109048,1414736,169668,5240176,6719.604,583.703,0,7385.546,0,450.314,5092,6741,1.970,1.210,0.700,2,0,73.214,0,0,11,4,0,19,0
01-05 20:38:42,36.230,7.746,54.470,0.750,0,1183120,1340648,169676,5240180,10841.026,485.732,0,643.645,0,32.982,3273,2210,1.970,1.210,0.700,1,0,89.950,0,0,11,4,0,19,0
01-05 20:38:43,23.215,2.995,71.393,2.496,0,1178868,1344860,169704,5240192,10101.823,485.271,0,786.818,0,29.955,1848,1396,1.970,1.210,0.700,1,0,5.991,0,0,11,4,0,19,0
01-05 20:38:44,21.470,4.743,47.684,23.967,0,1225396,1298272,169760,5240196,8145.663,485.325,0,8871.652,0,371.483,2861,3187,1.970,1.210,0.700,1,2,4.993,0,0,11,4,0,19,0
