"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","02 Mar 2026 09:29:08 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
02-03 09:29:08,,1012604,1487740,163072,5155592,,,,,,,1.150,1.040,0.650,2,0,,,,10,5,0,18,1
02-03 09:29:09,20.251,21.752,53.004,4.250,0,1041700,1458100,163200,5155896,20771.433,11276.778,0,1660.115,0,57.004,6626,5820,1.150,1.040,0.650,1,0,579.040,0,0,10,5,0,17,1
02-03 09:29:10,24.743,18.745,52.235,3.249,0,1050508,1448576,163344,5156376,41743.959,11111.795,0,1739.498,0,57.983,6666,6861,1.150,1.040,0.650,1,0,402.884,0,0,10,5,0,17,1
02-03 09:29:11,28.976,10.241,55.454,4.496,0,1177788,1302584,163520,5298828,178544.548,9049.425,0,1974.347,0,54.954,6740,8404,1.150,1.040,0.650,1,0,141.881,0,0,11,4,0,17,2
02-03 09:29:12,28.016,7.754,61.035,2.001,0,1200580,1262476,164476,5312752,3274.876,540.310,0,5847.350,0,99.057,3251,2562,1.220,1.060,0.660,3,0,91.052,0,0,11,6,0,17,2
02-03 09:29:13,38.985,10.496,47.482,2.749,0,1201164,1243728,164928,5328328,3201.782,539.795,3.998,1847.297,1.000,68.974,4583,3507,1.220,1.060,0.660,1,1,194.926,0,0,11,6,0,19,2
02-03 09:29:14,32.720,5.245,49.455,11.989,0,1272964,1149604,165704,5347768,8950.787,539.505,443.593,3904.418,14.986,100.907,2787,1950,1.220,1.060,0.660,1,2,0,0,0,11,6,0,19,2
02-03 09:29:15,37.015,4.502,47.019,10.254,0,1296368,1109464,166412,5361536,6179.515,540.220,128.052,4801.954,6.002,170.069,3669,3456,1.220,1.060,0.660,0,3,1.000,0,0,11,8,0,19,2
02-03 09:29:16,18.755,3.751,42.512,32.509,0,1315784,1069016,166888,5380380,8933.591,540.157,0,10014.905,0,609.177,5557,8642,1.220,1.060,0.660,2,1,9.003,0,0,11,8,0,19,2
02-03 09:29:17,17.485,3.997,48.709,28.226,0,1310108,1065332,167436,5387960,6788.311,1032.135,0,10307.361,0,520.564,5133,7962,1.360,1.090,0.670,2,1,0,0,0,11,9,0,19,2
02-03 09:29:18,19.521,4.505,44.547,29.782,0,1263104,1128588,167644,5371856,12988.835,2722.900,0,9958.607,0,673.718,5405,8479,1.360,1.090,0.670,1,1,31.033,0,0,11,6,0,19,0
02-03 09:29:19,20.013,4.503,47.031,27.268,0,1305316,1080708,167812,5376820,11250.432,2825.867,0,11387.522,0,660.436,4752,7312,1.360,1.090,0.670,1,2,23.015,0,0,11,6,0,19,0
02-03 09:29:20,23.691,4.988,44.638,24.688,0,1319260,1063884,167972,5379296,8563.573,1873.313,0,6946.619,0,513.715,5715,8378,1.360,1.090,0.670,0,4,33.915,0,0,11,7,0,19,0
02-03 09:29:21,15.780,4.008,42.581,35.818,0,1297852,1078308,168300,5384724,9948.853,2387.524,0,12291.292,0,633.200,4806,7726,1.360,1.090,0.670,0,2,5.009,0,0,11,6,0,19,0
02-03 09:29:22,19.484,6.495,36.471,35.721,0.250,1267532,1107060,168420,5386020,6059.132,539.567,0,10727.382,0,610.510,12190,22765,1.580,1.140,0.690,1,1,20.983,0,0,11,6,0,19,0
